GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US25025000100,25025000100,"Census Tract 1, Suffolk County, Massachusetts",3671,364,2977,459,2133,384,178,151,0,12,531,225,0,12,78,87,57,55,14,20,43,52,694,422,215,159,0,12,0,12,0,12,0,12,478,381,1,3,0,12,1,3
1400000US25025000201,25025000201,"Census Tract 2.01, Suffolk County, Massachusetts",3284,325,2985,315,2484,285,143,117,0,12,200,122,0,12,89,85,69,62,27,41,42,43,299,192,245,182,0,12,0,12,0,12,0,12,17,25,37,46,9,15,28,43
1400000US25025000202,25025000202,"Census Tract 2.02, Suffolk County, Massachusetts",3587,493,2921,324,2117,358,231,159,0,12,550,185,0,12,23,37,0,12,0,12,0,12,666,362,225,200,134,119,0,12,0,12,0,12,272,290,35,44,15,34,20,31
1400000US25025000301,25025000301,"Census Tract 3.01, Suffolk County, Massachusetts",2712,367,2486,367,2078,321,46,34,0,12,362,169,0,12,0,12,0,12,0,12,0,12,226,127,68,53,4,8,0,12,0,12,0,12,154,116,0,12,0,12,0,12
1400000US25025000302,25025000302,"Census Tract 3.02, Suffolk County, Massachusetts",2880,353,2754,327,2074,334,149,98,0,12,408,119,0,12,76,69,47,36,0,12,47,36,126,118,111,109,0,12,0,12,0,12,0,12,15,20,0,12,0,12,0,12
1400000US25025000401,25025000401,"Census Tract 4.01, Suffolk County, Massachusetts",5265,449,4887,453,3469,407,137,171,0,17,1151,339,0,17,0,17,130,102,9,14,121,101,378,161,312,149,0,17,0,17,0,17,0,17,37,36,29,47,14,23,15,24
1400000US25025000402,25025000402,"Census Tract 4.02, Suffolk County, Massachusetts",3176,313,2774,338,1980,312,56,42,0,12,683,181,0,12,0,12,55,50,9,17,46,46,402,281,288,281,29,46,0,12,10,15,0,12,9,14,66,114,0,12,66,114
1400000US25025000502,25025000502,"Census Tract 5.02, Suffolk County, Massachusetts",6350,1122,5867,1101,4824,906,129,93,0,17,804,262,0,17,11,15,99,65,24,30,75,49,483,150,366,139,31,31,9,14,29,31,0,17,48,36,0,17,0,17,0,17
1400000US25025000503,25025000503,"Census Tract 5.03, Suffolk County, Massachusetts",2096,180,1989,180,1642,183,34,34,18,28,157,91,0,12,0,12,138,85,0,12,138,85,107,59,78,57,0,12,0,12,0,12,0,12,22,34,7,11,7,11,0,12
1400000US25025000504,25025000504,"Census Tract 5.04, Suffolk County, Massachusetts",4149,396,3825,407,3078,405,176,190,66,74,375,176,0,12,0,12,130,81,0,12,130,81,324,198,236,184,26,41,0,12,0,12,0,12,39,46,23,38,23,38,0,12
1400000US25025000601,25025000601,"Census Tract 6.01, Suffolk County, Massachusetts",3294,288,2968,306,2091,319,74,54,11,17,689,213,0,12,69,104,34,41,10,15,24,39,326,133,236,110,9,15,0,12,0,12,0,12,68,68,13,31,0,12,13,31
