TRACT GEOID 2010PlanningDistrict Neighborhood
000703 25025000703 Allston/Brighton Allston
000704 25025000704 Allston/Brighton Allston
000803 25025000803 Allston/Brighton Allston
981501 25025981501 Allston/Brighton Allston
000802 25025000802 Allston/Brighton Allston
010801 25025010801 Back_Bay/Beacon_Hill Back_Bay
010702 25025010702 Back_Bay/Beacon_Hill Back_Bay
010802 25025010802 Back_Bay/Beacon_Hill Back_Bay
010701 25025010701 Back_Bay/Beacon_Hill Back_Bay
010600 25025010600 Back_Bay/Beacon_Hill Back_Bay
010500 25025010500 Fenway/Kenmore Back_Bay
070300 25025070300 Central_Bay Village
981700 25025981700 Back_Bay/Beacon_Hill Beacon_Hill
020200 25025020200 Back_Bay/Beacon_Hill Beacon_Hill
020302 25025020302 Back_Bay/Beacon_Hill Beacon_Hill
020101 25025020101 Back_Bay/Beacon_Hill Beacon_Hill
000504 25025000504 Allston/Brighton Brighton
000302 25025000302 Allston/Brighton Brighton
000301 25025000301 Allston/Brighton Brighton
000503 25025000503 Allston/Brighton Brighton
000701 25025000701 Allston/Brighton Brighton
000602 25025000602 Allston/Brighton Brighton
000601 25025000601 Allston/Brighton Brighton
000502 25025000502 Allston/Brighton Brighton
000402 25025000402 Allston/Brighton Brighton
000401 25025000401 Allston/Brighton Brighton
000202 25025000202 Allston/Brighton Brighton
000201 25025000201 Allston/Brighton Brighton
000100 25025000100 Allston/Brighton Brighton
040801 25025040801 Charlestown Charlestown
040300 25025040300 Charlestown Charlestown
040200 25025040200 Charlestown Charlestown
040100 25025040100 Charlestown Charlestown
040600 25025040600 Charlestown Charlestown
040401 25025040401 Charlestown Charlestown
100800 25025100800 South_Dorchester Dorchester
100601 25025100601 South_Dorchester Dorchester
100500 25025100500 South_Dorchester Dorchester
100400 25025100400 South_Dorchester Dorchester
100300 25025100300 Mattapan Dorchester
100200 25025100200 Mattapan Dorchester
100100 25025100100 Mattapan Dorchester
092400 25025092400 Roxbury Dorchester
092300 25025092300 South_Dorchester Dorchester
092200 25025092200 South_Dorchester Dorchester
092000 25025092000 South_Dorchester Dorchester
091900 25025091900 South_Dorchester Dorchester
091800 25025091800 South_Dorchester Dorchester
091700 25025091700 South_Dorchester Dorchester
091600 25025091600 South_Dorchester Dorchester
091001 25025091001 North_Dorchester Dorchester
